item_id,target_value,timestamp
Aeronor Chile,46.0,1982-12-09 13:27:00
United Air Lines,3.0,1983-01-11 02:50:00
Munz Northern Airlines,2.0,1983-04-07 14:55:00
SAN Ecuador,8.0,1983-04-29 15:10:00
Eastern Air Lines,0.0,1983-05-05 09:15:00
Air Canada,23.0,1983-06-02 19:20:00
Air Canada,0.0,1983-07-23 19:30:00
Korean Airlines,269.0,1983-09-01 18:26:00
Gulf Air,112.0,1983-09-23 15:30:00
Air Illinois,10.0,1983-10-11 20:53:00
AVIANCA,181.0,1983-11-27 10:06:00
Iberia Airlines / Aviaco,93.0,1983-12-07 09:40:00
Scandinavian Airlines (SAS),0.0,1984-02-28 16:16:00
Wings West Airlines / Private,17.0,1984-08-24 11:18:00
AECA Cargo,4.0,1984-09-18 11:04:00
Aeroflot,174.0,1984-10-11 05:40:00
Provincetown - Boston Airlines,13.0,1984-12-06 18:14:00
Eastern Air Lines,29.0,1985-01-01 20:30:00
Galaxy Airlines,70.0,1985-01-21 01:04:00
North PacifiAirlines,9.0,1985-02-04 19:51:00
Iberia Airlines,148.0,1985-02-19 09:27:00
China Airlines (Taiwan),0.0,1985-02-19 10:15:00
